create_date,location_id,location_name,md101_sn,msg,send_platform
2022/01/10 21:16:51,119,부산광역시 전체,137703,[부산시]1.4.(화) ~ 1.10.(월) 동서고시원(부산진구 동평로407(양정동))에 방문하신 분은 인근 보건소에서 검사바랍니다.(소독완료),cbs
2022/01/10 20:37:07,47,경기도 이천시,137702,"[이천시청] 마장면 장암리 산23 설봉산 일대에서 발생한 산불이 확산되고 있어 입산을 금지하오니, 인근 등산객과 야영객은 지금 즉시 하산하시기 바랍니다.",cbs
2022/01/10 20:28:38,199,전라남도 함평군,137701,[함평군청] 타지역확진자 관련 1.8.(토) 16:50~17:10 하나로마트 월야농협본점 방문자는 황소주차장에서 코로나검사 받으세요(소독완료),cbs
2022/01/10 20:28:18,199,전라남도 함평군,137700,"[함평군청] 타지역확진자 관련 1.8.(토) 13:00~14:15 한우다함, 함평해월축산푸드시스템(해보면) 방문자는 황소주차장에서 코로나검사 받으세요(소독완료)",cbs
2022/01/10 20:21:02,47,경기도 이천시,137699,"[경기남부경찰청] 이천시에서 실종된 서용선(남,65세)씨를 찾습니다 - 170cm, 50kg, 검정계열티셔츠, 검정바지, 등산화 vo.la/XUBP5 / ☎182",cbs
2022/01/10 20:01:32,47,경기도 이천시,137698,[이천시청] 금일 18:09경 마장면 장암리197 설봉산 정상 산불 발생. 입산을 금지하고 인근 주민과 등산객은 안전사고 발생에 주의하시기 바랍니다.,cbs
2022/01/10 19:54:17,49,경기도 평택시,137697,"[평택시]평택시요청에 따라 미군도 재택근무,다중이용시설 출입금지등 방역강화 조치를 실시하고 있음. 시민여러분께서도 금번 위기를 극복할 수 있도록 적극협조바랍니다.",cbs
2022/01/10 18:58:34,46,경기도 의정부시,137696,"[의정부시청]1월 10일 확진자 35명 발생, 홈페이지 c11.kr/joao 참고. 추가접종대상자는 ☎870-6301~6, ncvr.kdca.go.kr 예약",cbs
2022/01/10 18:51:11,40,경기도 양평군,137695,"[양평군청] 1월 10일 18시 기준 코로나19 확진자 4명 발생, 관련 사항은 www.yp21.go.kr/corona.jsp 참고하세요.",cbs
2022/01/10 18:38:56,106,대구광역시 달서구,137694,"[대구경찰청] 달서구에서 실종된 이정익(남, 33세)씨를 찾습니다 - 180cm, 60kg, 검정야구잠바, 검정바지, 회색운동화 vo.la/4x922 / ☎182",cbs
